module_name	pathway_name	original_ko_rule	converted_rule	human_readable
M00010	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	(K01647,K05942) (K01681,K01682) (K00031,K00030)	(K01647|K05942)__(K01681|K01682)__(K00031|K00030)	( K01647 | K05942 ) __ ( K01681 | K01682 ) __ ( K00031 | K00030 )
M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	((K00164+K00658,K01616)+K00382,K00174+K00175-K00177-K00176) (K01902+K01903,K01899+ K01900,K18118) (K00234+K00235+K00236+(K00237,K25801),K00239+K00240+K00241-(K00242,K18859,K18860),K00244+K00245+K00246-K00247) (K01676,K01679,K01677+ K01678) (K00026,K00025,K00024,K00116)	((((K00164&K00658)|(K01616))&K00382)|(K00174&K00175))__((K01902&K01903)|(K01899&K01900)|(K18118))__((K00234&K00235&K00236&(K00237|K25801))|(K00239&K00240&K00241)|(K00244&K00245&K00246))__((K01676)|(K01679)|(K01677&K01678))__(K00026|K00025|K00024|K00116)	( ( ( ( K00164 & K00658 ) | ( K01616 ) ) & K00382 ) | ( K00174 & K00175 ) ) __ ( ( K01902 & K01903 ) | ( K01899 & K01900 ) | ( K18118 ) ) __ ( ( K00234 & K00235 & K00236 & ( K00237 | K25801 ) ) | ( K00239 & K00240 & K00241 ) | ( K00244 & K00245 & K00246 ) ) __ ( ( K01676 ) | ( K01679 ) | ( K01677 & K01678 ) ) __ ( K00026 | K00025 | K00024 | K00116 )
M00012	Glyoxylate cycle	K01647 (K01681,K01682) K01637 (K01638,K19282) (K00026,K00025,K00024)	K01647__(K01681|K01682)__K01637__(K01638|K19282)__(K00026|K00025|K00024)	K01647 __ ( K01681 | K01682 ) __ K01637 __ ( K01638 | K19282 ) __ ( K00026 | K00025 | K00024 )
M00013	Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA	(K00248,K00232) (K07511,K14729) K05605 K23146 K00140	(K00248|K00232)__(K07511|K14729)__K05605__K23146__K00140	( K00248 | K00232 ) __ ( K07511 | K14729 ) __ K05605 __ K23146 __ K00140
M00014	Glucuronate pathway (uronate pathway)	K00012 ((K12447 K16190),(K00699 (K01195,K14756))) K00002 K13247 -- K03331 (K05351,K00008) K00854	K00012__((K12447&K16190)|(K00699&(K01195|K14756)))__K00002__K13247__K03331__(K05351|K00008)__K00854	K00012 __ ( ( K12447 & K16190 ) | ( K00699 & ( K01195 | K14756 ) ) ) __ K00002 __ K13247 __ K03331 __ ( K05351 | K00008 ) __ K00854
M00015	Proline biosynthesis, glutamate => proline	((K00931 K00147),K12657) K00286	((K00931&K00147)|K12657)__K00286	( ( K00931 & K00147 ) | K12657 ) __ K00286
M00016	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine	(K00928,K12524,K12525,K12526) K00133 K01714 K00215 K00674 (K00821,K14267)  K01439 K01778 (K01586,K12526)	(K00928|K12524|K12525|K12526)__K00133__K01714__K00215__K00674__(K00821|K14267)__K01439__K01778__(K01586|K12526)	( K00928 | K12524 | K12525 | K12526 ) __ K00133 __ K01714 __ K00215 __ K00674 __ ( K00821 | K14267 ) __ K01439 __ K01778 __ ( K01586 | K12526 )
M00017	Methionine biosynthesis, aspartate => homoserine => methionine	(K00928,K12524,K12525) K00133 (K00003,K12524,K12525) (K00651,K00641) K01739 (K01760,K14155) (K00548,K24042,K00549)	(K00928|K12524|K12525)__K00133__(K00003|K12524|K12525)__(K00651|K00641)__K01739__(K01760|K14155)__(K00548|K24042|K00549)	( K00928 | K12524 | K12525 ) __ K00133 __ ( K00003 | K12524 | K12525 ) __ ( K00651 | K00641 ) __ K01739 __ ( K01760 | K14155 ) __ ( K00548 | K24042 | K00549 )
M00018	Threonine biosynthesis, aspartate => homoserine => threonine	(K00928,K12524,K12525,K12526) K00133 (K00003,K12524,K12525) (K00872,K02204,K02203)  K01733	(K00928|K12524|K12525|K12526)__K00133__(K00003|K12524|K12525)__(K00872|K02204|K02203)__K01733	( K00928 | K12524 | K12525 | K12526 ) __ K00133 __ ( K00003 | K12524 | K12525 ) __ ( K00872 | K02204 | K02203 ) __ K01733
M00019	Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine	K01652+(K01653,K11258) K00053 K01687 K00826	K01652&(K01653|K11258)__K00053__K01687__K00826	K01652 & ( K01653 | K11258 ) __ K00053 __ K01687 __ K00826
M00020	Serine biosynthesis, glycerate-3P => serine	K00058 K00831 (K01079,K02203,K22305,K25528)	K00058__K00831__(K01079|K02203|K22305|K25528)	K00058 __ K00831 __ ( K01079 | K02203 | K22305 | K25528 )
M00021	Cysteine biosynthesis, serine => cysteine	(K00640,K23304) (K01738,K13034,K17069)	(K00640|K23304)__(K01738|K13034|K17069)	( K00640 | K23304 ) __ ( K01738 | K13034 | K17069 )
M00022	Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate	(K01626,K03856,K13853) (((K01735,K13829) ((K03785,K03786) K00014,K13832)),K13830) ((K00891,K13829) (K00800,K24018),K13830) K01736	(K01626|K03856|K13853)__(((K01735|K13829)&(((K03785|K03786)&K00014)|(K13832)))|K13830)__(((K00891|K13829)&(K00800|K24018))|(K13830))__K01736	( K01626 | K03856 | K13853 ) __ ( ( ( K01735 | K13829 ) & ( ( ( K03785 | K03786 ) & K00014 ) | ( K13832 ) ) ) | K13830 ) __ ( ( ( K00891 | K13829 ) & ( K00800 | K24018 ) ) | ( K13830 ) ) __ K01736
M00023	Tryptophan biosynthesis, chorismate => tryptophan	(((K01657+K01658,K13503,K13501,K01656) K00766),K13497) (((K01817,K24017) (K01656,K01609)),K13498,K13501) (K01695+(K01696,K06001),K01694)	((((K01657&K01658)|(K13503)|(K13501)|(K01656))&K00766)|K13497)__(((K01817|K24017)&(K01656|K01609))|K13498|K13501)__((K01695&(K01696|K06001))|(K01694))	( ( ( ( K01657 & K01658 ) | ( K13503 ) | ( K13501 ) | ( K01656 ) ) & K00766 ) | K13497 ) __ ( ( ( K01817 | K24017 ) & ( K01656 | K01609 ) ) | K13498 | K13501 ) __ ( ( K01695 & ( K01696 | K06001 ) ) | ( K01694 ) )
M00024	Phenylalanine biosynthesis, chorismate => phenylpyruvate => phenylalanine	((K01850,K04092,K14187,K04093,K04516,K06208,K06209) (K01713,K04518,K05359),K14170) (K00832,K00838)	(((K01850|K04092|K14187|K04093|K04516|K06208|K06209)&(K01713|K04518|K05359))|(K14170))__(K00832|K00838)	( ( ( K01850 | K04092 | K14187 | K04093 | K04516 | K06208 | K06209 ) & ( K01713 | K04518 | K05359 ) ) | ( K14170 ) ) __ ( K00832 | K00838 )
M00025	Tyrosine biosynthesis, chorismate => HPP => tyrosine	(((K01850,K04092,K14170,K04093,K04516,K06208,K06209) (K04517,K00211)),K14187) (K00832,K00838)	(((K01850|K04092|K14170|K04093|K04516|K06208|K06209)&(K04517|K00211))|K14187)__(K00832|K00838)	( ( ( K01850 | K04092 | K14170 | K04093 | K04516 | K06208 | K06209 ) & ( K04517 | K00211 ) ) | K14187 ) __ ( K00832 | K00838 )
M00026	Histidine biosynthesis, PRPP => histidine	(K00765-K02502) (K01523 K01496,K11755,K14152) (K01814,K24017) (K02501+K02500,K01663) ((K01693 K00817 (K04486,K05602,K18649)),(K01089 K00817)) (K00013,K14152)	(K00765)__((K01523&K01496)|(K11755)|(K14152))__(K01814|K24017)__((K02501&K02500)|(K01663))__((K01693&K00817&(K04486|K05602|K18649))|(K01089&K00817))__(K00013|K14152)	( K00765 ) __ ( ( K01523 & K01496 ) | ( K11755 ) | ( K14152 ) ) __ ( K01814 | K24017 ) __ ( ( K02501 & K02500 ) | ( K01663 ) ) __ ( ( K01693 & K00817 & ( K04486 | K05602 | K18649 ) ) | ( K01089 & K00817 ) ) __ ( K00013 | K14152 )
M00027	GABA (gamma-Aminobutyrate) shunt	K01580 (K13524,K07250,K00823,K16871) (K00135,K00139,K17761)	K01580__(K13524|K07250|K00823|K16871)__(K00135|K00139|K17761)	K01580 __ ( K13524 | K07250 | K00823 | K16871 ) __ ( K00135 | K00139 | K17761 )
M00028	Ornithine biosynthesis, glutamate => ornithine	(K00618,K00619,K14681,K14682,K00620,K22477,K22478) ((K00930,K22478) K00145,K12659) (K00818,K00821) (K01438,K14677,K00620)	(K00618|K00619|K14681|K14682|K00620|K22477|K22478)__(((K00930|K22478)&K00145)|(K12659))__(K00818|K00821)__(K01438|K14677|K00620)	( K00618 | K00619 | K14681 | K14682 | K00620 | K22477 | K22478 ) __ ( ( ( K00930 | K22478 ) & K00145 ) | ( K12659 ) ) __ ( K00818 | K00821 ) __ ( K01438 | K14677 | K00620 )
M00029	Urea cycle	K01948 K00611 K01940 (K01755,K14681) K01476	K01948__K00611__K01940__(K01755|K14681)__K01476	K01948 __ K00611 __ K01940 __ ( K01755 | K14681 ) __ K01476
M00030	Lysine biosynthesis, AAA pathway, 2-oxoglutarate => 2-aminoadipate => lysine	K01655 K17450 K01705 K05824 K00838 K00143 (K00293,K24034) K00290	K01655__K17450__K01705__K05824__K00838__K00143__(K00293|K24034)__K00290	K01655 __ K17450 __ K01705 __ K05824 __ K00838 __ K00143 __ ( K00293 | K24034 ) __ K00290
M00031	Lysine biosynthesis, mediated by LysW, 2-aminoadipate => lysine	K05826 K05827 K05828 K05829 K05830 K05831	K05826__K05827__K05828__K05829__K05830__K05831	K05826 __ K05827 __ K05828 __ K05829 __ K05830 __ K05831
M00032	Lysine degradation, lysine => saccharopine => acetoacetyl-CoA	K14157 K14085 K00825 (K15791+K00658+K00382) K00252 (K07514,(K07515,K07511)  K00022)	K14157__K14085__K00825__(K15791&K00658&K00382)__K00252__((K07514)|((K07515|K07511)&K00022))	K14157 __ K14085 __ K00825 __ ( K15791 & K00658 & K00382 ) __ K00252 __ ( ( K07514 ) | ( ( K07515 | K07511 ) & K00022 ) )
M00033	Ectoine biosynthesis, aspartate => ectoine	K00928 K00133 K00836 K06718 K06720	K00928__K00133__K00836__K06718__K06720	K00928 __ K00133 __ K00836 __ K06718 __ K06720
M00034	Methionine salvage pathway	K00789 K01611 K00797 ((K01243,K01244) K00899,(K00772,K05810)) K08963 (K16054,K08964 (K09880,K08965 K08966)) K08967 (K00815,K08969,K23977,K00832,K00838)	K00789__K01611__K00797__(((K01243|K01244)&K00899)|((K00772|K05810)))__K08963__((K16054)|(K08964&((K09880)|(K08965&K08966))))__K08967__(K00815|K08969|K23977|K00832|K00838)	K00789 __ K01611 __ K00797 __ ( ( ( K01243 | K01244 ) & K00899 ) | ( ( K00772 | K05810 ) ) ) __ K08963 __ ( ( K16054 ) | ( K08964 & ( ( K09880 ) | ( K08965 & K08966 ) ) ) ) __ K08967 __ ( K00815 | K08969 | K23977 | K00832 | K00838 )
M00035	Methionine degradation	K00789 (K00552,K00558,K17398,K17399) K01251 (K01697,K10150)	K00789__(K00552|K00558|K17398|K17399)__K01251__(K01697|K10150)	K00789 __ ( K00552 | K00558 | K17398 | K17399 ) __ K01251 __ ( K01697 | K10150 )
M00036	Leucine degradation, leucine => acetoacetate + acetyl-CoA	K00826 ((K00166+K00167,K11381)+K09699+K00382) (K00253,K00249) (K01968+K01969) (K05607,K13766) K01640	K00826__(((K00166&K00167)|(K11381))&K09699&K00382)__(K00253|K00249)__(K01968&K01969)__(K05607|K13766)__K01640	K00826 __ ( ( ( K00166 & K00167 ) | ( K11381 ) ) & K09699 & K00382 ) __ ( K00253 | K00249 ) __ ( K01968 & K01969 ) __ ( K05607 | K13766 ) __ K01640
M00037	Melatonin biosynthesis, animals, tryptophan => serotonin => melatonin	K00502 K01593 K00669 K00543	K00502__K01593__K00669__K00543	K00502 __ K01593 __ K00669 __ K00543
M00038	Tryptophan metabolism, tryptophan => kynurenine => 2-aminomuconate	(K00453,K00463) (K01432,K14263,K07130) K00486 K01556 K00452 K03392 (K10217,K23234)	(K00453|K00463)__(K01432|K14263|K07130)__K00486__K01556__K00452__K03392__(K10217|K23234)	( K00453 | K00463 ) __ ( K01432 | K14263 | K07130 ) __ K00486 __ K01556 __ K00452 __ K03392 __ ( K10217 | K23234 )
M00039	Monolignol biosynthesis, phenylalanine/tyrosine => monolignol	(K10775,K13064) K00487 K01904 K13065 K09754 K00588 K09753 K09755 K13066 (K00083,K22395)	(K10775|K13064)__K00487__K01904__K13065__K09754__K00588__K09753__K09755__K13066__(K00083|K22395)	( K10775 | K13064 ) __ K00487 __ K01904 __ K13065 __ K09754 __ K00588 __ K09753 __ K09755 __ K13066 __ ( K00083 | K22395 )
M00040	Tyrosine biosynthesis, chorismate => arogenate => tyrosine	(K01850,K04092,K14170) (K00832,K15849) (K00220,K24018,K15227)	(K01850|K04092|K14170)__(K00832|K15849)__(K00220|K24018|K15227)	( K01850 | K04092 | K14170 ) __ ( K00832 | K15849 ) __ ( K00220 | K24018 | K15227 )
M00042	Catecholamine biosynthesis, tyrosine => dopamine => noradrenaline => adrenaline	(K00505,K00501) K01593 K00503 K00553	(K00505|K00501)__K01593__K00503__K00553	( K00505 | K00501 ) __ K01593 __ K00503 __ K00553
M00043	Thyroid hormone biosynthesis, tyrosine => triiodothyronine/thyroxine	K00431	K00431	K00431
M00044	Tyrosine degradation, tyrosine => homogentisate	(K00815,K00838,K00832,K03334) K00457 K00451 K01800 (K01555,K16171)	(K00815|K00838|K00832|K03334)__K00457__K00451__K01800__(K01555|K16171)	( K00815 | K00838 | K00832 | K03334 ) __ K00457 __ K00451 __ K01800 __ ( K01555 | K16171 )
M00045	Histidine degradation, histidine => N-formiminoglutamate => glutamate	K01745 K01712 K01468 (K01479,K00603,K13990,(K05603 K01458))	K01745__K01712__K01468__(K01479|K00603|K13990|(K05603&K01458))	K01745 __ K01712 __ K01468 __ ( K01479 | K00603 | K13990 | ( K05603 & K01458 ) )
M00046	Pyrimidine degradation, uracil => beta-alanine, thymine => 3-aminoisobutanoate	(K00207,K17722+K17723) K01464 (K01431,K06016)	((K00207)|(K17722&K17723))__K01464__(K01431|K06016)	( ( K00207 ) | ( K17722 & K17723 ) ) __ K01464 __ ( K01431 | K06016 )
M00047	Creatine pathway	K00613 K00542 K00933	K00613__K00542__K00933	K00613 __ K00542 __ K00933
M00048	De novo purine biosynthesis, PRPP + glutamine => IMP	K00764 (K01945,K11787,K11788,K13713) (K00601,K11175,K08289,K11787,K01492) (K01952,(K23269+K23264+K23265),(K23270+K23265)) (K01933,K11787,K11788 (K01587,K11808,K01589  K01588)) (K01923,K01587,K13713) K01756 (K00602,(K01492,K06863 K11176))	K00764__(K01945|K11787|K11788|K13713)__(K00601|K11175|K08289|K11787|K01492)__(K01952|(K23269&K23264&K23265)|(K23270&K23265))__((K01933)|(K11787)|(K11788&((K01587)|(K11808)|(K01589&K01588))))__(K01923|K01587|K13713)__K01756__(K00602|((K01492)|(K06863&K11176)))	K00764 __ ( K01945 | K11787 | K11788 | K13713 ) __ ( K00601 | K11175 | K08289 | K11787 | K01492 ) __ ( K01952 | ( K23269 & K23264 & K23265 ) | ( K23270 & K23265 ) ) __ ( ( K01933 ) | ( K11787 ) | ( K11788 & ( ( K01587 ) | ( K11808 ) | ( K01589 & K01588 ) ) ) ) __ ( K01923 | K01587 | K13713 ) __ K01756 __ ( K00602 | ( ( K01492 ) | ( K06863 & K11176 ) ) )
M00049	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP	K01939 K01756 (K00939,K18532,K18533,K00944) K00940	K01939__K01756__(K00939|K18532|K18533|K00944)__K00940	K01939 __ K01756 __ ( K00939 | K18532 | K18533 | K00944 ) __ K00940
M00050	Guanine ribonucleotide biosynthesis, IMP => GDP,GTP	K00088 K01951 K00942 (K00940,K18533)	K00088__K01951__K00942__(K00940|K18533)	K00088 __ K01951 __ K00942 __ ( K00940 | K18533 )
M00051	De novo pyrimidine biosynthesis, glutamine (+ PRPP) => UMP	(K11540,(K11541 K01465),((K01954,K01955+K01956) (K00609+K00610,K00608)  K01465)) (K00226,K00254,K17828) (K13421,K00762 K01591)	(K11540|(K11541&K01465)|(((K01954)|(K01955&K01956))&((K00609&K00610)|(K00608))&K01465))__(K00226|K00254|K17828)__((K13421)|(K00762&K01591))	( K11540 | ( K11541 & K01465 ) | ( ( ( K01954 ) | ( K01955 & K01956 ) ) & ( ( K00609 & K00610 ) | ( K00608 ) ) & K01465 ) ) __ ( K00226 | K00254 | K17828 ) __ ( ( K13421 ) | ( K00762 & K01591 ) )
M00052	Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP	(K13800,K13809,K09903) (K00940,K18533) K01937	(K13800|K13809|K09903)__(K00940|K18533)__K01937	( K13800 | K13809 | K09903 ) __ ( K00940 | K18533 ) __ K01937
M00053	Deoxyribonucleotide biosynthesis, ADP/GDP/CDP/UDP => dATP/dGTP/dCTP/dUTP	(K00525+K00526,K10807+K10808) (K00940,K18533)	((K00525&K00526)|(K10807&K10808))__(K00940|K18533)	( ( K00525 & K00526 ) | ( K10807 & K10808 ) ) __ ( K00940 | K18533 )
M00055	N-glycan precursor biosynthesis	K01001 (K07432+K07441) K03842 K03843 K03844 K03845 K03846 K03847 K03846  K00729 K03848 K03849 K03850	K01001__(K07432&K07441)__K03842__K03843__K03844__K03845__K03846__K03847__K03846__K00729__K03848__K03849__K03850	K01001 __ ( K07432 & K07441 ) __ K03842 __ K03843 __ K03844 __ K03845 __ K03846 __ K03847 __ K03846 __ K00729 __ K03848 __ K03849 __ K03850
M00056	O-glycan biosynthesis, mucin type core	K00710 (K00731,K09653) (K00727,K09662,K09663) K00739	K00710__(K00731|K09653)__(K00727|K09662|K09663)__K00739	K00710 __ ( K00731 | K09653 ) __ ( K00727 | K09662 | K09663 ) __ K00739
M00057	Glycosaminoglycan biosynthesis, linkage tetrasaccharide	K00771 K00733 K00734 K10158	K00771__K00733__K00734__K10158	K00771 __ K00733 __ K00734 __ K10158
M00059	Glycosaminoglycan biosynthesis, heparan sulfate backbone	(K02369,K02370) (K02366,K02367) (K02368,K02370) (K02576,K02577,K02578,K02579)  K01793	(K02369|K02370)__(K02366|K02367)__(K02368|K02370)__(K02576|K02577|K02578|K02579)__K01793	( K02369 | K02370 ) __ ( K02366 | K02367 ) __ ( K02368 | K02370 ) __ ( K02576 | K02577 | K02578 | K02579 ) __ K01793
M00060	KDO2-lipid A biosynthesis, Raetz pathway, LpxL-LpxM type	K00677 K02535 K02536 (K03269,K09949) K00748 K00912 K02527 K02517 K02560	K00677__K02535__K02536__(K03269|K09949)__K00748__K00912__K02527__K02517__K02560	K00677 __ K02535 __ K02536 __ ( K03269 | K09949 ) __ K00748 __ K00912 __ K02527 __ K02517 __ K02560
M00061	D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P	K01812 K00040 (K01686,K08323) K00874 (K01625,K17463)	K01812__K00040__(K01686|K08323)__K00874__(K01625|K17463)	K01812 __ K00040 __ ( K01686 | K08323 ) __ K00874 __ ( K01625 | K17463 )
M00063	CMP-KDO biosynthesis	K06041 K01627 K03270 K00979	K06041__K01627__K03270__K00979	K06041 __ K01627 __ K03270 __ K00979
M00064	ADP-L-glycero-D-manno-heptose biosynthesis	K03271 (K03272,K21344) K03273 (K03272,K21345) K03274	K03271__(K03272|K21344)__K03273__(K03272|K21345)__K03274	K03271 __ ( K03272 | K21344 ) __ K03273 __ ( K03272 | K21345 ) __ K03274
M00066	Lactosylceramide biosynthesis	K00720 (K07553,K09905)	K00720__(K07553|K09905)	K00720 __ ( K07553 | K09905 )
M00067	Sulfoglycolipids biosynthesis, ceramide/1-alkyl-2-acylglycerol => sulfatide/seminolipid	K04628 K01019	K04628__K01019	K04628 __ K01019
M00068	Glycosphingolipid biosynthesis, globo-series, LacCer => Gb4Cer	K01988 K00719	K01988__K00719	K01988 __ K00719
M00069	Glycosphingolipid biosynthesis, ganglio series, LacCer => GT3	K03370 (K03371,K03369)	K03370__(K03371|K03369)	K03370 __ ( K03371 | K03369 )
M00070	Glycosphingolipid biosynthesis, lacto-series, LacCer => Lc4Cer	K03766 (K07819,K07820,K03877)	K03766__(K07819|K07820|K03877)	K03766 __ ( K07819 | K07820 | K03877 )
M00071	Glycosphingolipid biosynthesis, neolacto-series, LacCer => nLc4Cer	K03766 (K07966,K07967,K07968,K07969)	K03766__(K07966|K07967|K07968|K07969)	K03766 __ ( K07966 | K07967 | K07968 | K07969 )
M00078	Heparan sulfate degradation	(K07964,K07965) K01136 K01217 K01565 K10532 K01205 -- K01195 K01137	(K07964|K07965)__K01136__K01217__K01565__K10532__K01205__K01195__K01137	( K07964 | K07965 ) __ K01136 __ K01217 __ K01565 __ K10532 __ K01205 __ K01195 __ K01137
M00081	Pectin degradation	K01051 K01184 K01213	K01051__K01184__K01213	K01051 __ K01184 __ K01213
M00082	Fatty acid biosynthesis, initiation	(K11262,(K02160+K01961,K11263)+(K01962+K01963,K18472)) (K00665,K00667+K00668,K11533,(K00645 (K00648,K18473)))	((K11262)|(((K02160&K01961)|(K11263))&((K01962&K01963)|(K18472))))__((K00665)|(K00667&K00668)|(K11533)|((K00645&(K00648|K18473))))	( ( K11262 ) | ( ( ( K02160 & K01961 ) | ( K11263 ) ) & ( ( K01962 & K01963 ) | ( K18472 ) ) ) ) __ ( ( K00665 ) | ( K00667 & K00668 ) | ( K11533 ) | ( ( K00645 & ( K00648 | K18473 ) ) ) )
M00083	Fatty acid biosynthesis, elongation	K00665,(K00667 K00668),K11533,((K00647,K09458) K00059 (K02372,K01716,K16363) (K00208,K02371,K10780,K00209))	(K00665)|((K00667&K00668))|(K11533)|(((K00647|K09458)&K00059&(K02372|K01716|K16363)&(K00208|K02371|K10780|K00209)))	( K00665 ) | ( ( K00667 & K00668 ) ) | ( K11533 ) | ( ( ( K00647 | K09458 ) & K00059 & ( K02372 | K01716 | K16363 ) & ( K00208 | K02371 | K10780 | K00209 ) ) )
M00085	Fatty acid elongation in mitochondria	(K07508,K07509) (K00022 K07511,K07515) K07512	(K07508|K07509)__((K00022&K07511)|(K07515))__K07512	( K07508 | K07509 ) __ ( ( K00022 & K07511 ) | ( K07515 ) ) __ K07512
M00086	beta-Oxidation, acyl-CoA synthesis	K01897,K15013	K01897|K15013	K01897 | K15013
M00087	beta-Oxidation	(K00232,K00249,K00255,K06445,K09479) (((K01692,K07511,K13767) (K00022,K07516)),K01825,K01782,K07514,K07515,K10527) (K00632,K07508,K07509,K07513)	(K00232|K00249|K00255|K06445|K09479)__(((K01692|K07511|K13767)&(K00022|K07516))|K01825|K01782|K07514|K07515|K10527)__(K00632|K07508|K07509|K07513)	( K00232 | K00249 | K00255 | K06445 | K09479 ) __ ( ( ( K01692 | K07511 | K13767 ) & ( K00022 | K07516 ) ) | K01825 | K01782 | K07514 | K07515 | K10527 ) __ ( K00632 | K07508 | K07509 | K07513 )
M00088	Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone	K00626 K01641 K01640 K00019 K01574	K00626__K01641__K01640__K00019__K01574	K00626 __ K01641 __ K01640 __ K00019 __ K01574
M00089	Triacylglycerol biosynthesis	(K00629,K13506,K13507,K00630,K13508) (K00655,K13509,K13523,K19007,K13513,K13517,K13519,K14674,K22831) (K01080,K15728,K18693) (K11155,K11160,K14456,K22848,K22849)	(K00629|K13506|K13507|K00630|K13508)__(K00655|K13509|K13523|K19007|K13513|K13517|K13519|K14674|K22831)__(K01080|K15728|K18693)__(K11155|K11160|K14456|K22848|K22849)	( K00629 | K13506 | K13507 | K00630 | K13508 ) __ ( K00655 | K13509 | K13523 | K19007 | K13513 | K13517 | K13519 | K14674 | K22831 ) __ ( K01080 | K15728 | K18693 ) __ ( K11155 | K11160 | K14456 | K22848 | K22849 )
M00090	Phosphatidylcholine (PC) biosynthesis, choline => PC	(K00866,K14156) K00968 (K00994,K13644)	(K00866|K14156)__K00968__(K00994|K13644)	( K00866 | K14156 ) __ K00968 __ ( K00994 | K13644 )
M00091	Phosphatidylcholine (PC) biosynthesis, PE => PC	K00551,(K16369 K00550),K00570	(K00551)|((K16369&K00550))|(K00570)	( K00551 ) | ( ( K16369 & K00550 ) ) | ( K00570 )
M00092	Phosphatidylethanolamine (PE) biosynthesis, ethanolamine => PE	(K00894,K14156) K00967 (K00993,K13644)	(K00894|K14156)__K00967__(K00993|K13644)	( K00894 | K14156 ) __ K00967 __ ( K00993 | K13644 )
M00093	Phosphatidylethanolamine (PE) biosynthesis, PA => PS => PE	K00981 (K00998,K17103) K01613	K00981__(K00998|K17103)__K01613	K00981 __ ( K00998 | K17103 ) __ K01613
M00094	Ceramide biosynthesis	K00654 K04708 (K04709,K04710,K24621,K24622,K23727) K04712	K00654__K04708__(K04709|K04710|K24621|K24622|K23727)__K04712	K00654 __ K04708 __ ( K04709 | K04710 | K24621 | K24622 | K23727 ) __ K04712
M00095	C5 isoprenoid biosynthesis, mevalonate pathway	K00626 K01641 K00021 K00869 (K00938,K13273) K01597 K01823	K00626__K01641__K00021__K00869__(K00938|K13273)__K01597__K01823	K00626 __ K01641 __ K00021 __ K00869 __ ( K00938 | K13273 ) __ K01597 __ K01823
M00096	C5 isoprenoid biosynthesis, non-mevalonate pathway	K01662 K00099 (K00991,K12506) K00919 (K01770,K12506) K03526 K03527 K01823	K01662__K00099__(K00991|K12506)__K00919__(K01770|K12506)__K03526__K03527__K01823	K01662 __ K00099 __ ( K00991 | K12506 ) __ K00919 __ ( K01770 | K12506 ) __ K03526 __ K03527 __ K01823
M00097	beta-Carotene biosynthesis, GGAP => beta-carotene	K02291 K02293 K15744 K00514 K09835 K06443	K02291__K02293__K15744__K00514__K09835__K06443	K02291 __ K02293 __ K15744 __ K00514 __ K09835 __ K06443
M00098	Acylglycerol degradation	(K01046,K12298,K16816,K13534,K14073,K14074,K14075,K14076,K22283,K14452,K22284,K14674,K14675,K17900) (K01054,K25824)	(K01046|K12298|K16816|K13534|K14073|K14074|K14075|K14076|K22283|K14452|K22284|K14674|K14675|K17900)__(K01054|K25824)	( K01046 | K12298 | K16816 | K13534 | K14073 | K14074 | K14075 | K14076 | K22283 | K14452 | K22284 | K14674 | K14675 | K17900 ) __ ( K01054 | K25824 )
M00099	Sphingosine biosynthesis	K00654 K04708 (K04709,K04710,K24621,K24622,K23727) K04712 (K01441,K12348,K12349)	K00654__K04708__(K04709|K04710|K24621|K24622|K23727)__K04712__(K01441|K12348|K12349)	K00654 __ K04708 __ ( K04709 | K04710 | K24621 | K24622 | K23727 ) __ K04712 __ ( K01441 | K12348 | K12349 )
M00100	Sphingosine degradation	K04718 K01634	K04718__K01634	K04718 __ K01634
M00101	Cholesterol biosynthesis, squalene 2,3-epoxide => cholesterol	K01852 K05917 (K00222,K19532) K07750 K07748 K13373 K09828 K01824 K00227  K00213	K01852__K05917__(K00222|K19532)__K07750__K07748__K13373__K09828__K01824__K00227__K00213	K01852 __ K05917 __ ( K00222 | K19532 ) __ K07750 __ K07748 __ K13373 __ K09828 __ K01824 __ K00227 __ K00213
M00102	Ergocalciferol biosynthesis, squalene 2,3-epoxide => ergosterol/ergocalciferol	K01852 K05917 K00222 K07750 K07748 K09827 K00559 K09829 K00227 K09831 K00223	K01852__K05917__K00222__K07750__K07748__K09827__K00559__K09829__K00227__K09831__K00223	K01852 __ K05917 __ K00222 __ K07750 __ K07748 __ K09827 __ K00559 __ K09829 __ K00227 __ K09831 __ K00223
M00103	Cholecalciferol biosynthesis	K07419 K07438	K07419__K07438	K07419 __ K07438
M00104	Bile acid biosynthesis, cholesterol => cholate/chenodeoxycholate	K00489 K12408 K07431 K00251 K00037 K00488 K08748 K01796 K10214 K12405 K08764  K11992	K00489__K12408__K07431__K00251__K00037__K00488__K08748__K01796__K10214__K12405__K08764__K11992	K00489 __ K12408 __ K07431 __ K00251 __ K00037 __ K00488 __ K08748 __ K01796 __ K10214 __ K12405 __ K08764 __ K11992
