metamdb_pathway_id,inhouse_id,source_database,source_db_id,kegg_module_id,pathway_id,pathway_description,reaction_ids,ec_numbers,ec3_numbers
1293.0,ME.1293,metacyc,PWY-7716,,9765,penicillin G and penicillin V biosynthesis,42941|42944|42943|42942,6.2.1.30|2.3.1|2.3.1.164,6.2.1|2.3.1|2.3.1
1294.0,ME.1294,metacyc,PWY-5083,,10950,NAD/NADH phosphorylation and dephosphorylation,49828|49826|49827|49825|49824|49823,1.6.5.9|3.1.3.108|3.1.3.108|2.7.1.86|2.7.1.23|7.1.1.1,1.6.5|3.1.3|3.1.3|2.7.1|2.7.1|7.1.1
1295.0,ME.1295,metacyc,PWY-699,,8027,brassinosteroid biosynthesis I,32791|32794|32793|32790|32789|32787|32786|32797|32798|32799|32800|32801|32785|32784|32783|32788|32782|32781|32780|32779|32792|32778|32777|32795|32796,1.14.14|1.14.14|1.14.14|1.14.14|1.1|1.14.14|1.1|1.1|1.14.14|1.14.14|1.14.19|1.14.19|1.14.19|1.14.19|1.14.14|1.14.14|1.14.99|1.3.1|1.1.1.357|5.3.3.1|1.14.14|1.14.14,1.14.14|1.14.14|1.14.14|1.14.14|1.1|1.14.14|1.1|1.1|1.14.14|1.14.14|1.14.19|1.14.19|1.14.19|1.14.19|1.14.14|1.14.14|1.14.99|1.3.1|1.1.1|5.3.3|1.14.14|1.14.14
1296.0,ME.1296,metacyc,PWY-7569,,8435,arginomycin biosynthesis,35336|35331|35330|35334|35329|35333|35337|35335|35332,2.1.1|1.1|2.4.1|6.3.2|3.2.2.10|6.3.2|3.4.13|2.6.1,2.1.1|1.1|2.4.1|6.3.2|3.2.2|6.3.2|3.4.13|2.6.1
1297.0,ME.1297,metacyc,PWY-7943,,9991,lycopadiene biosynthesis,44272|44275|44277|44272|44274|44278|44276|44273,2.5.1.148|2.5.1.32|2.5.1.148,2.5.1|2.5.1|2.5.1
1298.0,ME.1298,metacyc,TRPCAT-PWY,,8040,L-tryptophan degradation I (via anthranilate),32872|32871|32873|32872,1.13.11.52|3.7.1.3|3.5.1.9|1.13.11.11,1.13.11|3.7.1|3.5.1|1.13.11
1299.0,ME.1299,metacyc,PWY-5061,,8304,"6,7,4-trihydroxyisoflavone biosynthesis",34504|34505|34506,1.14.14|1.14.14|4.2.1,1.14.14|1.14.14|4.2.1
1300.0,ME.1300,metacyc,NADPHOS-DEPHOS-PWY-1,,9789,NAD phosphorylation and transhydrogenation,43097|43096,2.7.1.23|7.1.1.1,2.7.1|7.1.1
1301.0,ME.1301,metacyc,PWY-6346,,8684,staurosporine biosynthesis,36875|36873|36872|36871|36876|36874|36877|36869|36870,2.1.1|2.4.1|1.21.98.2|2.1.1.139|1.4.3.23,2.1.1|2.4.1|1.21.98|2.1.1|1.4.3
1302.0,ME.1302,metacyc,PWY-5651,,9905,L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde,43766|43766|43765|43767|43768|43769,1.13.11.52|1.13.11.11|1.14.13.9|1.13.11.6|3.7.1.3|3.5.1.9,1.13.11|1.13.11|1.14.13|1.13.11|3.7.1|3.5.1
1303.0,ME.1303,metacyc,PWY-6073,,10406,alginate biosynthesis I (algal),46722|46720|46721,2.4.1.33|1.1.1.132|5.1.3.37,2.4.1|1.1.1|5.1.3
1304.0,ME.1304,metacyc,PWY-5679,,8887,clavulanate biosynthesis,38084|38091|38090|38085|38086|38087|38088|38089,6.3.3.4|1.14.11.21|2.5.1.66|3.5.3.22|1.14.11.21|1.14.11.21,6.3.3|1.14.11|2.5.1|3.5.3|1.14.11|1.14.11
1305.0,ME.1305,metacyc,NADPHOS-DEPHOS-PWY,,10194,NAD phosphorylation and dephosphorylation,45498|45499|45500,7.1.1.1|2.7.1.23|3.1.3.108,7.1.1|2.7.1|3.1.3
1306.0,ME.1306,metacyc,PWY-6082,,7867,alginate biosynthesis II (bacterial),31994|31995|31993|31996,5.1.3.37|2.4.1.33|1.1.1.132,5.1.3|2.4.1|1.1.1
1307.0,ME.1307,metacyc,PWY-7821,,10410,tunicamycin biosynthesis,46753|46752|46749|46750|46751|46746|46747|46748,3.6.1.9|3.1.3.5,3.6.1|3.1.3
1308.0,ME.1308,metacyc,PWY-6668,,7841,"(E,E)-4,8,12-trimethyltrideca-1,3,7,11-tetraene biosynthesis",31881|31882,4.2.3.144|1.14.14.58,4.2.3|1.14.14
1309.0,ME.1309,metacyc,PWY-3162,,7861,L-tryptophan degradation V (side chain pathway),31968|31967|31960|31964|31962|31965|31963|31966|31958|31961|31959|31970|31969,1.1.1|1.1.1.1|1.13.99.3|1.13.99.3|1.2.1|1.1.1|1.13.99.3|1.13.99|1.2.1.5|1.2.1,1.1.1|1.1.1|1.13.99|1.13.99|1.2.1|1.1.1|1.13.99|1.13.99|1.2.1|1.2.1
1310.0,ME.1310,metacyc,PWY-7248,,7699,pectin degradation II,31043|31042|31045|31044,5.3.1.12|3.2.1.67|3.1.1.11,5.3.1|3.2.1|3.1.1
1311.0,ME.1311,metacyc,PWY-2055,,8160,superpathway of pterocarpan biosynthesis (via daidzein),33640|33639,4.2.1.105|4.2.1.105,4.2.1|4.2.1
1312.0,ME.1312,metacyc,PWY-5936,,9869,xyloglucan biosynthesis,43572|43571|43573|43570|43569|43568,2.4.2.39|2.4.1|2.4.2.39|2.4.1.168,2.4.2|2.4.1|2.4.2|2.4.1
1313.0,ME.1313,metacyc,PWY-7409,,10447,"phospholipid remodeling (phosphatidylethanolamine, yeast)",46921|46924|46923|46922|46921,3.1.4.2|2.3.1.23|3.1.1.5|3.1.1.4|3.1.4.46,3.1.4|2.3.1|3.1.1|3.1.1|3.1.4
1314.0,ME.1314,metacyc,PWY-6718,,10123,sulfoacetaldehyde degradation III,45006,1.1.1.313,1.1.1
1315.0,ME.1315,metacyc,PWY-7694,,8552,zwittermicin A biosynthesis,36058|36055|36057|36062|36061|36060|36059|36053|36056|36065|36064|36063|36054,1.2.98|2.7.1.225|1.1.1|2.1.3|1.2.98|1.1.1|2.3.1|1.5.1.51|2.3.1|3.4.11|2.3.1|2.5.1.140,1.2.98|2.7.1|1.1.1|2.1.3|1.2.98|1.1.1|2.3.1|1.5.1|2.3.1|3.4.11|2.3.1|2.5.1
1316.0,ME.1316,metacyc,PWY-6773,,8237,"1,3-beta-D-glucan biosynthesis",34127,2.4.1.34,2.4.1
1317.0,ME.1317,metacyc,PWY4FS-6,,9082,phosphatidylethanolamine biosynthesis II,39131|39130|39129|39128,4.1.1|2.7.8.1|2.7.7.14|2.7.1.82,4.1.1|2.7.8|2.7.7|2.7.1
1318.0,ME.1318,metacyc,PWY-8062,,8373,sulfoacetaldehyde degradation IV,34943,1.2.1.10,1.2.1
1319.0,ME.1319,metacyc,PWY-7510,,8756,rhizocticin A and B biosynthesis,37352|37356|37355|37354|37353|37351|37350|37349|37348|37347|37346|37345,2.6.1|4.2.1|6.3.2|6.3.2|4.2.1|6.3.2|2.6.1|4.2.1|4.1.3|6.3.2|4.1.1.82|5.4.2.9,2.6.1|4.2.1|6.3.2|6.3.2|4.2.1|6.3.2|2.6.1|4.2.1|4.1.3|6.3.2|4.1.1|5.4.2
1320.0,ME.1320,metacyc,PWY-7087,,8735,2-methylisoborneol biosynthesis,37151|37152,2.1.1.255|4.2.3.118,2.1.1|4.2.3
1321.0,ME.1321,metacyc,TRPKYNCAT-PWY,,8219,L-tryptophan degradation IV (via indole-3-lactate),33988|33988|33987,2.6.1.1|2.6.1.27|1.1.1.110,2.6.1|2.6.1|1.1.1
1322.0,ME.1322,metacyc,PWY-7633,,8656,calycosin 7-O-glucoside biosynthesis,36751,2.4.1,2.4.1
1323.0,ME.1323,metacyc,PWY-5980,,11014,xylogalacturonan biosynthesis,50226,2.4.2.41,2.4.2
1324.0,ME.1324,metacyc,PWY-6273,,7839,phosphatidylethanolamine biosynthesis III,31875,2.7.8.29,2.7.8
1325.0,ME.1325,metacyc,PWY-1281,,9953,sulfoacetaldehyde degradation I,44036|44035,2.3.3.15|2.3.1.8,2.3.3|2.3.1
1326.0,ME.1326,metacyc,PWY-7016,,9210,neomycin biosynthesis,39784|39787|39786|39785,1.1.3.44|3.5.1.113|2.6.1.95|2.4.1.285,1.1.3|3.5.1|2.6.1|2.4.1
1327.0,ME.1327,metacyc,PWY-5827,,10678,heliocides biosynthesis,48184|48178|48186|48177|48179|48183|48185|48182|48181|48180,,
1328.0,ME.1328,metacyc,PWY-1001,,9360,cellulose biosynthesis,40680,2.4.1.168,2.4.1
1329.0,ME.1329,metacyc,PWY-5982,,10645,sulfoacetaldehyde degradation II,47977,1.2.1.73,1.2.1
1330.0,ME.1330,metacyc,PWY-6322,,10926,phosphinothricin tripeptide biosynthesis,49675|49677|49674|49678|49680|49681|49682|49669|49667|49660|49666|49665|49673|49672|49671|49670|49679|49664|49663|49662|49676|49661|49668,1.2.1|2.1.1.326|2.7.1|2.7.7|2.3.1|2.3.1|3.1.2|2.3.1.183|1.13.11.72|5.4.2.9|2.7.8.23|2.3.3.18|2.6.1|4.1.1|4.2.1|3.1.1|2.7.7.93|4.2.1.166|1.1.1.309|1.1.1|4.1.1.82|2.7.8.23,1.2.1|2.1.1|2.7.1|2.7.7|2.3.1|2.3.1|3.1.2|2.3.1|1.13.11|5.4.2|2.7.8|2.3.3|2.6.1|4.1.1|4.2.1|3.1.1|2.7.7|4.2.1|1.1.1|1.1.1|4.1.1|2.7.8
1331.0,ME.1331,metacyc,PWY-5828,,10415,lacinilene C biosynthesis,46776|46777|46778,4.2.3.97,4.2.3
1332.0,ME.1332,metacyc,PWY-5729,,8397,vestitol and sativan biosynthesis,35042|35041,2.1.1|1.3.1,2.1.1|1.3.1
1333.0,ME.1333,metacyc,PWY-6981,,8192,chitin biosynthesis,33826|33826|33826|33827|33828|33826|33826,5.4.2.2|5.4.2.8|5.4.2.5|5.3.1.9|2.4.1.16|5.4.2.10|5.4.2.3,5.4.2|5.4.2|5.4.2|5.3.1|2.4.1|5.4.2|5.4.2
1334.0,ME.1334,metacyc,PWY0-43,,10706,conversion of succinate to propanoate,48395|48396|48394,5.4.99.2,5.4.99
1335.0,ME.1335,metacyc,PWY-5632,,8141,cephalosporin C biosynthesis,33477,2.3.1.175,2.3.1
1336.0,ME.1336,metacyc,PWY-6403,,10703,carrageenan biosynthesis,48386|48385,2.5.1,2.5.1
1337.0,ME.1337,metacyc,PWY1A0-6325,,9629,actinorhodin biosynthesis,42269|42263|42265|42273|42272|42271|42270|42268|42267|42266|42264|42274,2.3.1|1.14.14|1.1.1|3.1.2|4.2.1|1.3.1|1.14.14|4.2.1|5.5.1,2.3.1|1.14.14|1.1.1|3.1.2|4.2.1|1.3.1|1.14.14|4.2.1|5.5.1
1338.0,ME.1338,metacyc,PWY-6332,,10095,coumestrol biosynthesis,44883|44885|44880|44884|44882|44881,1.14.14.90|1.14.14.90|1.3.1.51,1.14.14|1.14.14|1.3.1
1339.0,ME.1339,metacyc,PWY-1061,,10825,homogalacturonan biosynthesis,49105|49104,2.1.1|2.4.1.43,2.1.1|2.4.1
1340.0,ME.1340,metacyc,PWY-6363,,8667,"D-myo-inositol (1,4,5)-trisphosphate degradation",36788|36790|36789,3.1.3.56|3.1.3.25|3.1.3.57,3.1.3|3.1.3|3.1.3
1341.0,ME.1341,metacyc,PWY-7810,,8422,chlorotetracycline biosynthesis,35256,1.14.19.49,1.14.19
1342.0,ME.1342,metacyc,PWY-4841,,9384,UDP-alpha-D-glucuronate biosynthesis (from myo-inositol),40784|40785|40783,2.7.1.43|1.13.99.1|2.7.7.44,2.7.1|1.13.99|2.7.7
1343.0,ME.1343,metacyc,PWY-822,,9901,fructan biosynthesis,43734|43733|43732|43731|43735,2.4.1|2.4.1.10|2.4.1.100|2.4.1.99|2.4.1.10,2.4.1|2.4.1|2.4.1|2.4.1|2.4.1
1344.0,ME.1344,metacyc,PWY-7671,,9190,saframycin A biosynthesis,39684|39683|39682|39681|39686|39680|39679|39678|39685,6.2.1|6.2.1|2.3.1|2.1.1.304|1.11.2.5|6.2.1,6.2.1|6.2.1|2.3.1|2.1.1|1.11.2|6.2.1
1346.0,ME.1346,metacyc,PWY-5821,,10737,dalcochinin biosynthesis,48546,3.2.1,3.2.1
1347.0,ME.1347,metacyc,PWY-6658,,8211,acetan biosynthesis,33929|33921|33926|33925|33924|33927|33928|33923|33922,2.4.1.264|2.4.1|2.4.1|2.4.1|2.7.8.31|2.4.1.252,2.4.1|2.4.1|2.4.1|2.4.1|2.7.8|2.4.1
1348.0,ME.1348,metacyc,PWY-7088,,10682,taxiphyllin biosynthesis,48222|48224|48221|48226|48225|48223,1.14.14.37|1.14.14.36|2.4.1.178,1.14.14|1.14.14|2.4.1
1349.0,ME.1349,metacyc,PWY-7441,,9650,polymyxin A biosynthesis,42373,,
1350.0,ME.1350,metacyc,PWY-861,,9678,dhurrin biosynthesis,42561|42566|42565|42564|42563|42562,2.4.1.85|1.14.14.37|1.14.14.36,2.4.1|1.14.14|1.14.14
1351.0,ME.1351,metacyc,PWY-7095,,8061,"3,4-dihydroxymandelonitrile beta-D-glucose biosynthesis",33038,2.4.1.178,2.4.1
1352.0,ME.1352,metacyc,PWY-6955,,10758,lincomycin biosynthesis,48673|48672|48674|48676|48671|48669|48675|48670|48670,2.1.1|1.13.11.30|1.10.3.1|1.14.18.1,2.1.1|1.13.11|1.10.3|1.14.18
1353.0,ME.1353,metacyc,PWY-3022,,10441,linamarin biosynthesis,46907|46907|46906|46908|46909|46910|46911,1.14.14.39|1.14.14.38|2.4.1.63|1.14.14.41,1.14.14|1.14.14|2.4.1|1.14.14
1354.0,ME.1354,metacyc,PWY-2229,,10478,superpathway of pterocarpan biosynthesis (via formononetin),47074|47073|47072|47075,4.2.1|4.2.1|2.1.1.270|1.14.14,4.2.1|4.2.1|2.1.1|1.14.14
1355.0,ME.1355,metacyc,PWY-7824,,8655,prunasin and amygdalin biosynthesis,36750|36748|36746|36749|36744|36745|36747,1.14.14.77|1.14.14.40|2.4.1.354|2.4.1,1.14.14|1.14.14|2.4.1|2.4.1
1356.0,ME.1356,metacyc,PWY-5984,,9554,rifamycin B biosynthesis,41803|41805|41792|41802|41799|41797|41795|41800|41793|41801|41798|41796|41804|41794,1.3.1|2.1.1.315|1.14.15|2.3.1|2.3.1|1.14.19,1.3.1|2.1.1|1.14.15|2.3.1|2.3.1|1.14.19
1357.0,ME.1357,metacyc,PWY-5990,,8109,lotaustralin biosynthesis,33306|33306|33307|33310|33311|33309|33308,1.14.14.39|1.14.14.38|2.4.1.63,1.14.14|1.14.14|2.4.1
1358.0,ME.1358,metacyc,PWY-4981,,7619,L-proline biosynthesis II (from arginine),30679|30681|30681|30682|30680|30681|30678|30678|30683,3.5.3.6|3.5.3.12|2.1.3.3|2.6.1.13|1.5.1.2|2.1.3.6|3.5.1.6|3.5.1.20,3.5.3|3.5.3|2.1.3|2.6.1|1.5.1|2.1.3|3.5.1|3.5.1
1359.0,ME.1359,metacyc,PWY-5388,,9514,N-glucosylnicotinate metabolism,41570,2.4.1.196,2.4.1
1360.0,ME.1360,metacyc,PWY-5629,,10021,isopenicillin N biosynthesis,44492|44491,1.21.3.1|6.3.2.26,1.21.3|6.3.2
1361.0,ME.1361,metacyc,PWY-8061,,9021,8-oxo-(d)GTP detoxification II,38769|38767|38764|38765|38768|38766,3.6.1.69|3.6.1.58|3.6.1.58|3.6.1.69,3.6.1|3.6.1|3.6.1|3.6.1
1362.0,ME.1362,metacyc,PWY-6566,,9159,chondroitin biosynthesis,39543|39544|39545|39542,2.4.1.226|2.4.1.175|2.4.1.174,2.4.1|2.4.1|2.4.1
1363.0,ME.1363,metacyc,PROSYN-PWY,,9763,L-proline biosynthesis I (from L-glutamate),42933|42936|42935|42934,1.2.1.41|2.7.2.11|1.5.1.2,1.2.1|2.7.2|1.5.1
1364.0,ME.1364,metacyc,PWY-8038,,8293,naphthomycin biosynthesis,34447|34445|34448|34451|34449|34446|34450,2.3.1,2.3.1
1365.0,ME.1365,metacyc,PWY-7092,,8729,neolinustatin bioactivation,37122|37123|37121,3.2.1.21|3.2.1.21|4.1.2.46,3.2.1|3.2.1|4.1.2
1366.0,ME.1366,metacyc,PWY-6502,,8670,8-oxo-(d)GTP detoxification I,36801|36798|36799|36800,3.6.1.55|3.6.1,3.6.1|3.6.1
1367.0,ME.1367,metacyc,PWY-6655,,10058,xanthan biosynthesis,44706|44707|44703|44708|44704|44710|44709|44705,2.4.1.251|2.4.1|2.4.1.264|2.4.1.252|2.5.1.95|2.7.8.31,2.4.1|2.4.1|2.4.1|2.4.1|2.5.1|2.7.8
1368.0,ME.1368,metacyc,PWY-3341,,8488,L-proline biosynthesis III (from L-ornithine),35633|35634|35635,1.5.1.2|2.6.1.13,1.5.1|2.6.1
1369.0,ME.1369,metacyc,PWY-6011,,9876,amygdalin and prunasin degradation,43611|43612|43613,3.2.1.117|4.1.2.10|3.2.1.118,3.2.1|4.1.2|3.2.1
1370.0,ME.1370,metacyc,PWY-7770,,10931,indolmycin biosynthesis,49723|49724|49725|49719|49720|49722|49726|49717|49721|49718,4.3.3|3.5.99|1.3.1|1.1.1.397|2.1.1.328|6.3.2|2.1.1.47|2.6.1.99,4.3.3|3.5.99|1.3.1|1.1.1|2.1.1|6.3.2|2.1.1|2.6.1
1371.0,ME.1371,metacyc,PWY-7808,,8935,tetracycline resistance,38300|38301,1.14.13.231,1.14.13
1372.0,ME.1372,metacyc,PWY-3121,,9542,linamarin degradation,41725|41726,4.1.2.46|3.2.1.21,4.1.2|3.2.1
1373.0,ME.1373,metacyc,GLUAMCAT-PWY,,10952,N-acetylglucosamine degradation I,49830|49831,3.5.1.25|3.5.99.6,3.5.1|3.5.99
1374.0,ME.1374,metacyc,PWY-6842,,10211,glutathione-mediated detoxification II,45579|45580|45573|45575|45574|45576|45577|45578|45581|45582,4.4.1.13|7.6.2.3|2.1.1.9|3.4.19.13|2.1.1.9|2.5.1.18|2.3.1|3.4.13.23,4.4.1|7.6.2|2.1.1|3.4.19|2.1.1|2.5.1|2.3.1|3.4.13
1375.0,ME.1375,metacyc,PWY-7222,,7748,guanosine deoxyribonucleotides de novo biosynthesis II,31304|31303|31305|31306,2.7.4.6|1.17.4.1|1.1.98.6|1.17.4.1,2.7.4|1.17.4|1.1.98|1.17.4
1376.0,ME.1376,metacyc,PWY-6557,,8876,glycosaminoglycan-protein linkage region biosynthesis,38038|38039|38040|38037,2.4.2.26|2.4.1.133|2.4.1.135|2.4.1.134,2.4.2|2.4.1|2.4.1|2.4.1
1377.0,ME.1377,metacyc,PWY-4281,,9434,L-proline biosynthesis IV,41058|41059|41060,1.5.1.21|2.6.1.8,1.5.1|2.6.1
1378.0,ME.1378,metacyc,PWY-7093,,7966,vicianin bioactivation,32459|32458,3.2.1.119|4.1.2.10,3.2.1|4.1.2
1379.0,ME.1379,metacyc,PWY-7665,,10683,aureobasidin A biosynthesis,48229|48230|48231|48232|48233|48234|48235|48228|48227,6.3.2|6.3.2|6.3.2|6.3.2|6.3.2|6.3.2|6.3.2|6.3.2|6.3.2,6.3.2|6.3.2|6.3.2|6.3.2|6.3.2|6.3.2|6.3.2|6.3.2|6.3.2
1380.0,ME.1380,metacyc,PWY-7652,,10773,echinocandin B degradation,48761|48763|48762,3.5.1,3.5.1
1381.0,ME.1381,metacyc,PWY-7089,,7756,taxiphyllin bioactivation,31354,4.1.2,4.1.2
1382.0,ME.1382,metacyc,PWY-6745,,8431,phytochelatins biosynthesis,35316,2.3.2.15,2.3.2
1383.0,ME.1383,metacyc,PWY-5976,,9108,dhurrin degradation,39227|39226,3.2.1|4.1.2.11,3.2.1|4.1.2
1384.0,ME.1384,metacyc,PWY-7354,,9944,aclacinomycin biosynthesis,43996|43988|43989|43990|43991|43992|43993|43994|43995|43997|43998|43999,2.4.1.327|1.1.1.362|1.1.3.45|1.3.3.14|2.1.1.288|5.5.1.23|2.4.1.326|2.4.1.327|1.13.12|4.2.1|1.1.1|4.2.1,2.4.1|1.1.1|1.1.3|1.3.3|2.1.1|5.5.1|2.4.1|2.4.1|1.13.12|4.2.1|1.1.1|4.2.1
1385.0,ME.1385,metacyc,PWY-7464,,10684,"cyanidin 3,7-diglucoside polyacylation biosynthesis",48236|48238|48237,2.3.1|2.3.1|2.4.1,2.3.1|2.3.1|2.4.1
1386.0,ME.1386,metacyc,PWY-7091,,9557,linustatin bioactivation,41815|41812|41813|41814,3.2.1|4.1.2.46|3.2.1.21|3.2.1.21,3.2.1|4.1.2|3.2.1|3.2.1
1387.0,ME.1387,metacyc,PWY-6517,,10870,N-acetylglucosamine degradation II,49364,2.7.1.59,2.7.1
1388.0,ME.1388,metacyc,PWY-4061,,7718,glutathione-mediated detoxification I,31148|31141|31142|31142|31142|31147|31143|31144|31145|31146|31142|31142,3.4.13.23|2.3.1.80|4.4.1.13|4.4.1.25|4.3.1.17|2.5.1.18|3.5.99.10|4.4.1.13|7.6.2.3|3.4.19.13|4.4.1.28|4.4.1.35,3.4.13|2.3.1|4.4.1|4.4.1|4.3.1|2.5.1|3.5.99|4.4.1|7.6.2|3.4.19|4.4.1|4.4.1
1389.0,ME.1389,metacyc,PWY-7226,,9687,guanosine deoxyribonucleotides de novo biosynthesis I,42618|42619,1.17.4.1|2.7.4.6,1.17.4|2.7.4
1390.0,ME.1390,metacyc,PWY-6813,,8170,glucuronoarabinoxylan degradation,33747,,
1391.0,ME.1391,metacyc,PWY-6002,,8222,lotaustralin degradation,33996|33997,4.1.2.46|3.2.1.21,4.1.2|3.2.1
1392.0,ME.1392,metacyc,PWY-6722,,9828,candicidin biosynthesis,43301|43300|43302|43303|43304,6.2.1|2.4.1|1.14.15|2.1.3.15,6.2.1|2.4.1|1.14.15|2.1.3
1393.0,ME.1393,metacyc,PWY-5310,,8561,superpathway of anthocyanin biosynthesis (from delphinidin 3-O-glucoside),36094,2.4.1,2.4.1
1394.0,ME.1394,metacyc,PWY1G-1,,10448,mycothiol-mediated detoxification,46925|46926,3.5.1.115,3.5.1
1395.0,ME.1395,metacyc,PWY-6789,,10228,"(1,3)-beta-D-xylan degradation",45676|45675,3.2.1.72|3.2.1.32,3.2.1|3.2.1
1396.0,ME.1396,metacyc,PWY0-166,,10309,superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli),46166|46167|46160|46168|46169|46170|46171|46162|46160|46160|46159|46158|46158|46157|46172|46161|46163|46164|46165,2.1.1.45|1.1.98.6|2.7.4.12|1.1.98.6|1.17.4.1|1.17.4.1|2.1.1.45|1.17.4.1|2.7.4.13|2.7.4.9|2.7.4.16|3.6.1.23|3.6.1.9|3.5.4.13|2.1.1.45|1.17.4.1|2.7.4.6|2.7.4.6|2.7.4.6,2.1.1|1.1.98|2.7.4|1.1.98|1.17.4|1.17.4|2.1.1|1.17.4|2.7.4|2.7.4|2.7.4|3.6.1|3.6.1|3.5.4|2.1.1|1.17.4|2.7.4|2.7.4|2.7.4
1397.0,ME.1397,metacyc,PWY-5929,,8873,puromycin biosynthesis,38023|38018|38017|38015|38016|38021|38019|38022|38020|38024,2.1.1.38,2.1.1
1398.0,ME.1398,metacyc,PWY-7450,,8517,anthocyanidin modification (Arabidopsis),35864|35863|35862|35861|35860|35859|35858|35857|35865,2.3.1|2.3.1|2.3.1|2.4.1|2.3.1.215|2.4.2.51|2.4.2|2.4.1.115|2.4.1,2.3.1|2.3.1|2.3.1|2.4.1|2.3.1|2.4.2|2.4.2|2.4.1|2.4.1
1399.0,ME.1399,metacyc,PWY3O-4108,,7652,L-tyrosine degradation III,30834|30835|30835|30835|30837|30836|30835,4.1.1.80|2.6.1.5|2.6.1.27|2.6.1.1|2.6.1.58|1.1.1.1|2.6.1.57,4.1.1|2.6.1|2.6.1|2.6.1|2.6.1|1.1.1|2.6.1
1400.0,ME.1400,metacyc,PWY-6997,,9047,furfural degradation,38892|38896|38891|38894|38898|38893|38895|38897,6.2.1.31|1.3.99.8|3.1.2|1.1.3,6.2.1|1.3.99|3.1.2|1.1.3
1401.0,ME.1401,metacyc,PWY-5342,,8082,ajugose biosynthesis I (galactinol-dependent),33179|33178,2.4.1|2.4.1,2.4.1|2.4.1
1402.0,ME.1402,metacyc,PWY-7187,,8200,pyrimidine deoxyribonucleotides de novo biosynthesis II,33866|33857|33858|33859|33860|33860|33860|33861|33862|33863|33864|33865|33858,2.1.1.45|3.5.4.13|3.6.1.23|2.7.4.16|2.7.4.9|2.7.4.13|2.7.4.12|2.7.4.6|2.1.1.45|1.1.98.6|1.1.98.6|2.1.1.45|3.6.1.9,2.1.1|3.5.4|3.6.1|2.7.4|2.7.4|2.7.4|2.7.4|2.7.4|2.1.1|1.1.98|1.1.98|2.1.1|3.6.1
1403.0,ME.1403,metacyc,PWY-8034,,10161,spectinabilin biosynthesis,45271|45268|45269|45272|45267|45270,1.14.15.37|1.14.99.68|2.1.1.353,1.14.15|1.14.99|2.1.1
1404.0,ME.1404,metacyc,PWY-5286,,10529,anthocyanidin sophoroside metabolism,47362|47364|47363,2.4.1|2.4.1|2.4.1,2.4.1|2.4.1|2.4.1
1405.0,ME.1405,metacyc,PWY-6786,,8875,detoxification of reactive carbonyls in chloroplasts,38030|38031|38032|38033|38034|38035|38036|38027|38028|38029,1.1.1|1.1.1.21|1.3.1|1.3.1|1.3.1|1.3.1|1.3.1|1.1.1.54|1.1.1.2|1.1.1,1.1.1|1.1.1|1.3.1|1.3.1|1.3.1|1.3.1|1.3.1|1.1.1|1.1.1|1.1.1
1406.0,ME.1406,metacyc,PWY-8006,,10438,plant arabinogalactan type II degradation,46895,,
1407.0,ME.1407,metacyc,PWY-7735,,8045,echinomycin and triostin A biosynthesis,32896|32897|32898|32899|32895|32894,6.3.2|6.3.2|2.7.7|2.1.1|1.8.3|2.3.1,6.3.2|6.3.2|2.7.7|2.1.1|1.8.3|2.3.1
1408.0,ME.1408,metacyc,PWY-7267,,9302,anthocyanin biosynthesis (pelargonidin 3-O-glucoside),40311|40312|40310,1.14.20.4|2.4.1.115,1.14.20|2.4.1
1409.0,ME.1409,metacyc,PWY-5151,,10799,L-tyrosine degradation II,48934|48934|48934|48933|48934,2.6.1.1|2.6.1.27|2.6.1.5|1.2.3.13|2.6.1.57,2.6.1|2.6.1|2.6.1|1.2.3|2.6.1
1410.0,ME.1410,metacyc,PWY-7141,,9705,(3S)-linalool biosynthesis,42692|42691,4.2.3.25|2.5.1.1,4.2.3|2.5.1
1411.0,ME.1411,metacyc,PWY-6577,,8436,farnesylcysteine salvage pathway,35338|35339|35341|35340,1.1.1.216|1.8.3.6|2.7.4.32|2.7.1.216,1.1.1|1.8.3|2.7.4|2.7.1
1412.0,ME.1412,metacyc,PWY-6807,,8510,xyloglucan degradation II (exoglucanase),35827|35830|35829|35828|35826|35825|35824|35823,3.2.1.23|3.2.1.51|3.2.1.51|3.2.1.151|3.2.1.23|3.2.1.23|3.2.1.120|3.2.1.177,3.2.1|3.2.1|3.2.1|3.2.1|3.2.1|3.2.1|3.2.1|3.2.1
1413.0,ME.1413,metacyc,PWY-7653,,11011,griseofulvin biosynthesis,50218|50216|50221|50214|50217|50215|50220|50219,1.14.19|2.1.1|1.3.1|2.3.1|2.1.1|2.1.1|1.14.19,1.14.19|2.1.1|1.3.1|2.3.1|2.1.1|2.1.1|1.14.19
1414.0,ME.1414,metacyc,PWY-5160,,10104,rose anthocyanin biosynthesis I (via cyanidin 5-O-beta-D-glucoside),44921|44920,2.4.1|2.4.1,2.4.1|2.4.1
1415.0,ME.1415,metacyc,PWY-641,,10520,proanthocyanidins biosynthesis from flavanols,47326|47323|47325|47327|47322|47324|47321,1.14.20.4|1.17.1.3|2.4.1|1.14.20.4|1.3.1.112,1.14.20|1.17.1|2.4.1|1.14.20|1.3.1
